# UTF-8 Byte Order Marker; see http://unicode.org/faq/utf_bom.html
# BANNER FILE NOT PROVIDED (-b option)# BULK_EXTRACTOR-Version: 1.3.1 ($Rev: 10844 $)
# Feature-Recorder: lightgrep
# Filename: /home/jon/data/ev/digitalcorpora/corp/nps/drives/corp/nps/drives/nps-2009-m57-patents-redacted/charlie-2009-11-12.E01
# Histogram-File-Version: 1.1
n=68808	loa	(utf16=8532)
n=66405	rea	(utf16=9383)
n=58573	colo	(utf16=16030)
n=34440	helper	(utf16=1582)
n=28438	register	(utf16=3345)
n=25039	una	(utf16=10050)
n=22430	noti	(utf16=4186)
n=20982	meta	(utf16=3673)
n=19390	destin	(utf16=897)
n=13235	printer	(utf16=3489)
n=11746	reader	(utf16=907)
n=10579	redmon	(utf16=198)
n=10534	ord	(utf16=3087)
n=8643	ava	(utf16=2241)
n=6867	roma	(utf16=3527)
n=6162	seco	(utf16=2283)
n=5978	brea	(utf16=1457)
n=5164	friendly	(utf16=1517)
n=4826	arabi	(utf16=2273)
n=4675	protection	(utf16=1929)
n=4666	cana	(utf16=1507)
n=4499	outlook	(utf16=1706)
n=4106	cale	(utf16=928)
n=3370	holder	(utf16=75)
n=3049	rota	(utf16=655)
n=2742	ina	(utf16=1083)
n=2398	avera	(utf16=1894)
n=1888	painter	(utf16=46)
n=1644	united	(utf16=427)
n=1563	banner	(utf16=463)
n=1512	ora	(utf16=316)
n=1492	traver	(utf16=61)
n=1441	moro	(utf16=80)
n=1370	verda	(utf16=425)
n=1120	opp	(utf16=319)
n=1040	pala	(utf16=692)
n=1035	millis	(utf16=203)
n=1034	capac	(utf16=318)
n=999	pana	(utf16=595)
n=985	reading	(utf16=389)
n=964	arp	(utf16=482)
n=922	bala	(utf16=305)
n=912	smoot	(utf16=164)
n=875	nome	(utf16=578)
n=856	guin	(utf16=599)
n=845	isola	(utf16=414)
n=839	rollin	(utf16=662)
n=835	dema	(utf16=353)
n=830	philipp	(utf16=95)
n=822	early	(utf16=163)
n=809	andale	(utf16=9)
n=783	philippi	(utf16=95)
n=767	amo	(utf16=76)
n=713	igo	(utf16=457)
n=679	rew	(utf16=154)
n=634	ola	(utf16=105)
n=620	como	(utf16=300)
n=612	mongo	(utf16=406)
n=609	thorndale
n=599	tama	(utf16=461)
n=576	avant	(utf16=507)
n=558	walker	(utf16=27)
n=552	ute	(utf16=29)
n=517	york	(utf16=55)
n=515	olivet	(utf16=483)
n=502	questa	(utf16=276)
n=497	jud	(utf16=20)
n=492	falkland	(utf16=150)
n=475	ono	(utf16=191)
n=464	casa	(utf16=71)
n=464	hooks	(utf16=203)
n=464	zim	(utf16=199)
n=463	eleva	(utf16=211)
n=443	almo	(utf16=50)
n=433	hill	(utf16=43)
n=425	caro	(utf16=83)
n=423	winn	(utf16=190)
n=414	conde	(utf16=232)
n=412	breaks	(utf16=145)
n=402	ong	(utf16=92)
n=401	chaska	(utf16=110)
n=385	bly	(utf16=111)
n=382	cardin	(utf16=25)
n=380	amma	(utf16=32)
n=376	mcafee	(utf16=306)
n=375	winder	(utf16=90)
n=359	ajo	(utf16=123)
n=358	iva
n=343	ayr	(utf16=117)
n=338	blocker	(utf16=158)
n=334	oto	(utf16=115)
n=322	centre	(utf16=223)
n=319	ary	(utf16=27)
n=315	longs
n=313	colora	(utf16=25)
n=310	carrier	(utf16=220)
n=305	oran	(utf16=91)
n=303	jal	(utf16=10)
n=293	toler	(utf16=92)
n=284	voca	(utf16=113)
n=265	cora	(utf16=114)
n=265	kentuck	(utf16=50)
n=262	dlo	(utf16=6)
n=262	reform
n=258	dumont	(utf16=91)
n=254	bim	(utf16=8)
n=250	ona	(utf16=58)
n=249	adel	(utf16=59)
n=248	university	(utf16=24)
n=247	cass	(utf16=3)
n=246	dix	(utf16=17)
n=240	buda	(utf16=53)
n=238	gove	(utf16=17)
n=232	luna	(utf16=129)
n=229	ulm	(utf16=13)
n=224	julian	(utf16=21)
n=218	cooper	(utf16=127)
n=215	tempe	(utf16=87)
n=212	salem	(utf16=56)
n=209	alta	(utf16=48)
n=207	arma	(utf16=98)
n=205	meno	(utf16=71)
n=197	agra	(utf16=51)
n=197	grenada	(utf16=115)
n=190	eudora	(utf16=37)
n=186	anguilla	(utf16=97)
n=186	anza	(utf16=68)
n=186	luxemburg	(utf16=152)
n=180	truk	(utf16=53)
n=178	cisco	(utf16=135)
n=176	kosrae	(utf16=59)
n=176	ponape	(utf16=52)
n=171	gambier	(utf16=49)
n=168	nevis	(utf16=108)
n=162	dawes
n=160	edmon	(utf16=36)
n=158	coolin	(utf16=76)
n=158	mio	(utf16=4)
n=157	hye	(utf16=2)
n=155	murdo	(utf16=32)
n=153	millen	(utf16=76)
n=152	falls	(utf16=36)
n=148	kinde	(utf16=128)
n=147	cory
n=139	campo	(utf16=32)
n=138	noma	(utf16=48)
n=137	kinder	(utf16=128)
n=136	palmer	(utf16=29)
n=135	evan
n=133	keo	(utf16=9)
n=131	smiley	(utf16=108)
n=130	kell	(utf16=11)
n=129	dille	(utf16=120)
n=126	grants	(utf16=15)
n=126	ila	(utf16=3)
n=125	blanks	(utf16=12)
n=123	cade	(utf16=56)
n=123	marengo	(utf16=37)
n=123	parkin	(utf16=9)
n=122	caledonia	(utf16=58)
n=122	nederland	(utf16=77)
n=122	numa	(utf16=80)
n=121	kings	(utf16=30)
n=121	menominee	(utf16=30)
n=120	eek	(utf16=7)
n=119	juda
n=118	childs	(utf16=2)
n=118	hima	(utf16=30)
n=118	majuro	(utf16=35)
n=116	chama	(utf16=18)
n=116	vincennes	(utf16=31)
n=115	vevay	(utf16=32)
n=113	tye	(utf16=6)
n=112	anthon
n=112	dola	(utf16=111)
n=110	cary
n=110	chino	(utf16=71)
n=109	currie	(utf16=25)
n=109	waves	(utf16=55)
n=109	winamac	(utf16=32)
n=108	zahl	(utf16=89)
n=107	glace	(utf16=30)
n=107	salix	(utf16=2)
n=106	ladd	(utf16=16)
n=104	filer	(utf16=37)
n=104	minden	(utf16=91)
n=102	diller	(utf16=102)
n=101	redig	(utf16=88)
n=100	lowes	(utf16=29)
n=100	vadis	(utf16=8)
n=99	honor	(utf16=19)
n=99	poca
n=98	malo	(utf16=31)
n=98	ney	(utf16=3)
n=96	argo	(utf16=9)
n=96	corea	(utf16=82)
n=96	wenden	(utf16=66)
n=95	britt	(utf16=18)
n=94	novi	(utf16=79)
n=94	sena	(utf16=22)
n=93	wales	(utf16=11)
n=90	gotha
n=90	robins	(utf16=2)
n=90	saipan	(utf16=34)
n=82	crum
n=82	mora	(utf16=14)
n=81	flushing	(utf16=9)
n=80	hext
n=80	ivor	(utf16=43)
n=77	riva	(utf16=27)
n=76	geyserville	(utf16=10)
n=76	napa	(utf16=45)
n=76	tiff	(utf16=2)
n=76	wyoming	(utf16=20)
n=74	galax	(utf16=27)
n=74	starke	(utf16=26)
n=74	welling	(utf16=21)
n=73	casper	(utf16=61)
n=73	philo	(utf16=28)
n=71	wana	(utf16=16)
n=69	fisher	(utf16=37)
n=69	joiner	(utf16=19)
n=68	rosario	(utf16=24)
n=67	tula	(utf16=40)
n=66	huey	(utf16=59)
n=66	seguin	(utf16=61)
n=65	hills	(utf16=7)
n=65	linn
