# UTF-8 Byte Order Marker; see http://unicode.org/faq/utf_bom.html
# BANNER FILE NOT PROVIDED (-b option)# BULK_EXTRACTOR-Version: 1.3.1 ($Rev: 10844 $)
# Feature-Recorder: lightgrep
# Filename: /home/jon/data/ev/digitalcorpora/corp/nps/drives/corp/nps/drives/nps-2009-m57-patents-redacted/jo-2009-11-12.E01
# Histogram-File-Version: 1.1
n=69843	loa	(utf16=9129)
n=62949	rea	(utf16=9029)
n=57746	colo	(utf16=15790)
n=33978	helper	(utf16=1570)
n=29021	register	(utf16=3512)
n=26042	una	(utf16=10461)
n=21849	noti	(utf16=4294)
n=20985	meta	(utf16=3903)
n=17348	destin	(utf16=878)
n=13347	printer	(utf16=3673)
n=11143	reader	(utf16=958)
n=10949	redmon	(utf16=173)
n=10653	ord	(utf16=3071)
n=8665	ava	(utf16=2219)
n=6884	roma	(utf16=3590)
n=6237	seco	(utf16=2303)
n=5977	brea	(utf16=1466)
n=5120	friendly	(utf16=1528)
n=4942	arabi	(utf16=2263)
n=4710	cana	(utf16=1527)
n=4641	outlook	(utf16=1778)
n=4431	protection	(utf16=1764)
n=4093	cale	(utf16=903)
n=3199	holder	(utf16=72)
n=2970	rota	(utf16=606)
n=2812	ina	(utf16=1084)
n=2334	avera	(utf16=1941)
n=1954	painter	(utf16=46)
n=1839	united	(utf16=550)
n=1490	ora	(utf16=314)
n=1489	traver	(utf16=63)
n=1422	banner	(utf16=397)
n=1414	moro	(utf16=87)
n=1336	verda	(utf16=408)
n=1131	capac	(utf16=318)
n=1032	pala	(utf16=679)
n=1031	millis	(utf16=198)
n=1022	opp	(utf16=272)
n=1000	reading	(utf16=421)
n=996	pana	(utf16=588)
n=960	arp	(utf16=428)
n=917	smoot	(utf16=179)
n=906	nome	(utf16=570)
n=867	bala	(utf16=301)
n=862	early	(utf16=163)
n=860	guin	(utf16=604)
n=852	isola	(utf16=406)
n=847	rollin	(utf16=697)
n=845	dema	(utf16=367)
n=809	andale	(utf16=9)
n=795	philipp	(utf16=98)
n=752	philippi	(utf16=98)
n=699	amo	(utf16=74)
n=676	rew	(utf16=141)
n=651	eleva	(utf16=383)
n=618	igo	(utf16=354)
n=609	thorndale
n=605	mongo	(utf16=408)
n=604	ute	(utf16=31)
n=583	tama	(utf16=433)
n=571	questa	(utf16=274)
n=566	avant	(utf16=496)
n=566	ola	(utf16=109)
n=515	york	(utf16=52)
n=513	olivet	(utf16=483)
n=505	walker	(utf16=28)
n=494	ono	(utf16=196)
n=479	falkland	(utf16=152)
n=473	como	(utf16=297)
n=469	hooks	(utf16=207)
n=469	jud	(utf16=20)
n=455	zim	(utf16=201)
n=445	almo	(utf16=53)
n=441	casa	(utf16=63)
n=430	hill	(utf16=42)
n=404	caro	(utf16=83)
n=401	chaska	(utf16=110)
n=398	winder	(utf16=90)
n=392	iva	(utf16=5)
n=392	winn	(utf16=187)
n=391	bly	(utf16=101)
n=389	breaks	(utf16=145)
n=388	ong	(utf16=91)
n=384	cardin	(utf16=25)
n=368	ajo	(utf16=127)
n=366	amma	(utf16=30)
n=358	mcafee	(utf16=300)
n=348	oto	(utf16=119)
n=347	blocker	(utf16=189)
n=337	ary	(utf16=22)
n=329	jal	(utf16=12)
n=327	conde	(utf16=187)
n=318	centre	(utf16=221)
n=317	ayr	(utf16=100)
n=315	oran	(utf16=94)
n=311	carrier	(utf16=220)
n=306	colora	(utf16=25)
n=279	voca	(utf16=106)
n=271	longs
n=263	toler	(utf16=93)
n=260	kentuck	(utf16=47)
n=258	cora	(utf16=121)
n=254	dix	(utf16=20)
n=253	dumont	(utf16=89)
n=251	ona	(utf16=58)
n=245	bim	(utf16=5)
n=244	reform
n=242	dlo	(utf16=5)
n=242	luna	(utf16=140)
n=239	gove	(utf16=16)
n=239	ulm	(utf16=17)
n=228	eudora	(utf16=37)
n=227	adel	(utf16=55)
n=221	university	(utf16=9)
n=219	cass	(utf16=3)
n=215	cooper	(utf16=128)
n=206	alta	(utf16=49)
n=206	tempe	(utf16=87)
n=205	salem	(utf16=51)
n=199	agra	(utf16=50)
n=198	arma	(utf16=97)
n=197	julian	(utf16=14)
n=192	gotha
n=192	meno	(utf16=66)
n=190	grenada	(utf16=113)
n=189	buda	(utf16=51)
n=189	luxemburg	(utf16=150)
n=180	anguilla	(utf16=96)
n=179	hye	(utf16=2)
n=178	cisco	(utf16=133)
n=178	kosrae	(utf16=58)
n=175	ponape	(utf16=49)
n=175	truk	(utf16=50)
n=174	coolin	(utf16=78)
n=170	gambier	(utf16=48)
n=167	nevis	(utf16=108)
n=161	dawes
n=156	falls	(utf16=33)
n=153	cory
n=153	parkin	(utf16=11)
n=147	kinde	(utf16=128)
n=147	millen	(utf16=75)
n=146	murdo	(utf16=30)
n=145	edmon	(utf16=31)
n=144	mio	(utf16=4)
n=138	ila	(utf16=3)
n=138	kinder	(utf16=128)
n=134	grants	(utf16=20)
n=129	dille	(utf16=120)
n=128	keo	(utf16=12)
n=128	palmer	(utf16=28)
n=127	campo	(utf16=27)
n=126	cade	(utf16=64)
n=124	kings	(utf16=33)
n=123	caledonia	(utf16=60)
n=121	evan
n=120	childs	(utf16=2)
n=120	eek	(utf16=6)
n=120	numa	(utf16=80)
n=119	anza	(utf16=49)
n=118	blanks	(utf16=12)
n=118	hima	(utf16=34)
n=116	chama	(utf16=18)
n=116	marengo	(utf16=35)
n=115	hext
n=115	juda	(utf16=1)
n=115	majuro	(utf16=34)
n=113	noma	(utf16=49)
n=112	kell	(utf16=10)
n=112	smiley	(utf16=108)
n=111	anthon
n=110	dola	(utf16=108)
n=110	ney	(utf16=2)
n=110	tye	(utf16=2)
n=110	vincennes	(utf16=30)
n=109	chino	(utf16=71)
n=109	ladd	(utf16=18)
n=109	menominee	(utf16=25)
n=109	nederland	(utf16=70)
n=109	zahl	(utf16=88)
n=108	filer	(utf16=35)
n=107	cary
n=107	crum
n=107	salix	(utf16=2)
n=107	vevay	(utf16=30)
n=105	waves	(utf16=54)
n=104	currie	(utf16=23)
n=103	wenden	(utf16=66)
n=102	diller	(utf16=102)
n=102	winamac	(utf16=30)
n=101	redig	(utf16=88)
n=100	minden	(utf16=87)
n=96	corea	(utf16=82)
n=96	glace	(utf16=25)
n=96	honor	(utf16=19)
n=94	poca
n=93	argo	(utf16=9)
n=93	malo	(utf16=29)
n=93	sena	(utf16=23)
n=92	wales	(utf16=11)
n=89	napa	(utf16=43)
n=89	saipan	(utf16=33)
n=87	flushing	(utf16=15)
n=85	robins	(utf16=2)
n=84	lowes	(utf16=23)
n=82	britt	(utf16=17)
n=81	ivor	(utf16=46)
n=80	mora	(utf16=12)
n=76	geyserville	(utf16=10)
n=76	novi	(utf16=60)
n=76	philo	(utf16=28)
n=73	casper	(utf16=61)
n=73	cima	(utf16=4)
n=73	galax	(utf16=27)
n=73	joiner	(utf16=24)
n=73	starke	(utf16=26)
n=73	tiff	(utf16=2)
n=73	welling	(utf16=21)
n=73	wyoming	(utf16=20)
n=71	tula	(utf16=40)
n=71	wana	(utf16=17)
n=70	riva	(utf16=26)
n=69	doss	(utf16=16)
n=66	reno	(utf16=18)
n=65	equality
n=65	huey	(utf16=59)
n=64	ranger
n=64	vadis	(utf16=10)
n=63	bena	(utf16=36)
n=63	fisher	(utf16=37)
n=63	hills	(utf16=7)
n=63	rosario	(utf16=24)
n=62	desha	(utf16=58)
n=61	epes	(utf16=61)
n=61	viper	(utf16=42)
n=60	elmo	(utf16=16)
n=58	linn
n=58	sabin
n=58	warne	(utf16=4)
n=57	ensenada	(utf16=25)
n=57	independence	(utf16=32)
n=57	nitro	(utf16=14)
n=57	seguin	(utf16=52)
n=56	duran	(utf16=9)
n=56	parker	(utf16=7)
n=56	vada
n=56	vesta	(utf16=44)
n=55	hauppauge	(utf16=23)
n=55	justin
n=55	zuni	(utf16=10)
n=54	charlo	(utf16=7)
n=53	stephan
n=53	strang	(utf16=1)
n=53	yorkshire
n=52	jeffers
n=51	devol	(utf16=16)
n=49	chico	(utf16=14)
n=49	shoshone
n=49	trent
n=48	brill	(utf16=23)
n=48	clancy	(utf16=40)
n=48	grantsdale	(utf16=19)
n=48	gwynn
n=48	manito
n=47	dolph	(utf16=45)
n=47	gravity	(utf16=22)
n=47	teton
n=46	elsa	(utf16=11)
n=46	mott	(utf16=31)
n=46	norge	(utf16=37)
n=46	saxe
n=46	vick
n=45	caddo	(utf16=8)
n=45	turner
n=44	durant	(utf16=9)
n=44	jansen
n=43	alviso	(utf16=19)
n=43	burns	(utf16=3)
n=43	carlos
n=43	carter	(utf16=4)
n=43	coden	(utf16=23)
n=43	gordo	(utf16=8)
n=43	hammon
n=43	lynd
n=43	scipio
n=42	ingle	(utf16=22)
n=42	mina	(utf16=17)
n=42	owen	(utf16=2)
n=42	wann	(utf16=32)
n=41	andreas
n=41	baker	(utf16=12)
n=41	barto	(utf16=8)
n=41	eucha
n=40	asco	(utf16=3)
n=40	homer
n=40	malaga	(utf16=16)
n=40	milton	(utf16=7)
n=40	nuevo	(utf16=31)
n=40	pekin	(utf16=7)
n=39	milano
n=38	browning	(utf16=8)
n=38	fagus
n=38	mena	(utf16=26)
n=38	pavo	(utf16=5)
n=37	achille
n=37	cambria
n=37	marne
n=37	shoshoni
n=36	alco	(utf16=8)
n=36	bache
n=36	erin	(utf16=3)
n=36	malin	(utf16=8)
n=36	seale	(utf16=9)
n=36	solen
n=36	vina	(utf16=2)
n=36	whitt
n=36	winner	(utf16=8)
n=36	zeeland	(utf16=29)
n=35	blackfoot	(utf16=19)
