# UTF-8 Byte Order Marker; see http://unicode.org/faq/utf_bom.html
# BANNER FILE NOT PROVIDED (-b option)# BULK_EXTRACTOR-Version: 1.3.1 ($Rev: 10844 $)
# Feature-Recorder: lightgrep
# Filename: /home/jon/data/ev/digitalcorpora/corp/nps/drives/corp/nps/drives/nps-2009-m57-patents-redacted/pat-2009-11-12.E01
# Histogram-File-Version: 1.1
n=68548	loa	(utf16=9873)
n=61157	rea	(utf16=9088)
n=55572	colo	(utf16=15694)
n=34815	helper	(utf16=1556)
n=28354	register	(utf16=3561)
n=24256	una	(utf16=9893)
n=20830	noti	(utf16=3908)
n=19546	destin	(utf16=874)
n=19288	meta	(utf16=3584)
n=12507	printer	(utf16=3419)
n=10718	reader	(utf16=894)
n=10603	redmon	(utf16=252)
n=10163	ord	(utf16=3062)
n=8189	ava	(utf16=2030)
n=5911	brea	(utf16=1477)
n=5794	seco	(utf16=2270)
n=5532	roma	(utf16=2326)
n=4751	cana	(utf16=1579)
n=4698	arabi	(utf16=2514)
n=4600	friendly	(utf16=1515)
n=4562	protection	(utf16=1888)
n=4515	outlook	(utf16=1666)
n=3882	cale	(utf16=882)
n=3189	holder	(utf16=70)
n=2869	rota	(utf16=635)
n=2707	ina	(utf16=1088)
n=2332	avera	(utf16=1934)
n=2041	painter	(utf16=46)
n=1715	united	(utf16=512)
n=1455	ora	(utf16=293)
n=1413	banner	(utf16=393)
n=1407	moro	(utf16=87)
n=1404	traver	(utf16=61)
n=1359	verda	(utf16=411)
n=1027	opp	(utf16=273)
n=1013	capac	(utf16=321)
n=999	pana	(utf16=609)
n=932	millis	(utf16=202)
n=904	reading	(utf16=396)
n=885	arp	(utf16=434)
n=879	smoot	(utf16=164)
n=867	nome	(utf16=566)
n=865	pala	(utf16=513)
n=862	guin	(utf16=605)
n=855	rollin	(utf16=694)
n=847	isola	(utf16=423)
n=842	early	(utf16=157)
n=822	bala	(utf16=301)
n=801	andale	(utf16=9)
n=800	philipp	(utf16=100)
n=785	dema	(utf16=353)
n=757	philippi	(utf16=100)
n=720	igo	(utf16=443)
n=703	amo	(utf16=78)
n=638	rew	(utf16=146)
n=636	mongo	(utf16=436)
n=609	thorndale
n=568	tama	(utf16=433)
n=564	ola	(utf16=113)
n=550	ute	(utf16=26)
n=531	questa	(utf16=274)
n=525	eleva	(utf16=232)
n=513	olivet	(utf16=483)
n=510	york	(utf16=52)
n=506	ono	(utf16=226)
n=486	como	(utf16=296)
n=482	falkland	(utf16=151)
n=469	walker	(utf16=23)
n=468	hooks	(utf16=216)
n=467	jud	(utf16=21)
n=464	zim	(utf16=215)
n=447	almo	(utf16=55)
n=442	casa	(utf16=64)
n=430	hill	(utf16=38)
n=412	caro	(utf16=83)
n=411	winn	(utf16=188)
n=405	avant	(utf16=328)
n=401	chaska	(utf16=110)
n=384	cardin	(utf16=25)
n=382	breaks	(utf16=140)
n=377	winder	(utf16=86)
n=374	ajo	(utf16=122)
n=374	mcafee	(utf16=306)
n=358	amma	(utf16=26)
n=357	iva	(utf16=3)
n=336	blocker	(utf16=186)
n=332	bly	(utf16=93)
n=331	oto	(utf16=118)
n=323	ary	(utf16=29)
n=319	centre	(utf16=221)
n=317	oran	(utf16=100)
n=308	carrier	(utf16=220)
n=305	ayr	(utf16=95)
n=300	conde	(utf16=152)
n=278	voca	(utf16=105)
n=270	longs
n=270	ong	(utf16=96)
n=267	jal	(utf16=8)
n=265	cora	(utf16=121)
n=261	kentuck	(utf16=44)
n=257	colora	(utf16=25)
n=253	ona	(utf16=59)
n=253	toler	(utf16=98)
n=252	dumont	(utf16=85)
n=248	university	(utf16=39)
n=237	dix	(utf16=12)
n=235	adel	(utf16=52)
n=232	bim	(utf16=11)
n=229	ulm	(utf16=17)
n=224	dlo	(utf16=8)
n=223	cass	(utf16=4)
n=221	luna	(utf16=119)
n=220	alta	(utf16=49)
n=220	gove	(utf16=19)
n=217	buda	(utf16=49)
n=217	reform
n=215	cooper	(utf16=128)
n=205	eudora	(utf16=29)
n=203	salem	(utf16=46)
n=202	hye	(utf16=9)
n=202	julian	(utf16=20)
n=202	luxemburg	(utf16=169)
n=199	agra	(utf16=53)
n=199	meno	(utf16=67)
n=198	arma	(utf16=97)
n=190	grenada	(utf16=108)
n=183	truk	(utf16=50)
n=181	kosrae	(utf16=58)
n=180	ponape	(utf16=50)
n=178	anguilla	(utf16=90)
n=178	tempe	(utf16=87)
n=176	gambier	(utf16=47)
n=175	cisco	(utf16=133)
n=175	nevis	(utf16=109)
n=155	chino	(utf16=117)
n=152	falls	(utf16=34)
n=151	millen	(utf16=74)
n=151	mio	(utf16=9)
n=150	edmon	(utf16=28)
n=148	cory
n=148	murdo	(utf16=26)
n=145	kinde	(utf16=128)
n=144	parkin	(utf16=11)
n=139	coolin	(utf16=72)
n=139	hext
n=138	corea	(utf16=123)
n=136	kinder	(utf16=128)
n=132	ila	(utf16=3)
n=130	campo	(utf16=24)
n=130	palmer	(utf16=24)
n=129	dille	(utf16=120)
n=127	grants	(utf16=15)
n=127	numa	(utf16=88)
n=124	nederland	(utf16=83)
n=123	caledonia	(utf16=58)
n=122	cade	(utf16=61)
n=122	majuro	(utf16=34)
n=122	marengo	(utf16=35)
n=121	blanks	(utf16=14)
n=121	evan
n=121	kings	(utf16=30)
n=119	honor	(utf16=19)
n=118	hima	(utf16=34)
n=118	juda	(utf16=3)
n=118	tye	(utf16=12)
n=116	chama	(utf16=18)
n=116	childs	(utf16=2)
n=116	menominee	(utf16=26)
n=116	ney	(utf16=7)
n=115	eek	(utf16=8)
n=115	keo	(utf16=12)
n=115	vincennes	(utf16=29)
n=113	vevay	(utf16=30)
n=112	anza	(utf16=49)
n=111	anthon
n=111	dawes
n=111	kell	(utf16=10)
n=111	zahl	(utf16=87)
n=110	dola	(utf16=108)
n=108	winamac	(utf16=30)
n=107	cary
n=107	ladd	(utf16=17)
n=107	salix	(utf16=2)
n=106	currie	(utf16=18)
n=102	diller	(utf16=102)
n=101	redig	(utf16=88)
n=100	glace	(utf16=22)
n=100	gotha
n=100	minden	(utf16=87)
n=97	malo	(utf16=31)
n=95	noma	(utf16=43)
n=95	saipan	(utf16=33)
n=95	wales	(utf16=11)
n=94	argo	(utf16=9)
n=93	wenden	(utf16=66)
n=91	sena	(utf16=22)
n=91	waves	(utf16=43)
n=90	britt	(utf16=16)
n=86	filer	(utf16=35)
n=86	lowes	(utf16=25)
n=85	robins	(utf16=2)
n=84	novi	(utf16=60)
n=83	ivor	(utf16=47)
n=83	joiner	(utf16=19)
n=81	crum
n=81	philo	(utf16=28)
n=80	flushing	(utf16=8)
n=77	mora	(utf16=12)
n=76	geyserville	(utf16=10)
n=76	napa	(utf16=43)
n=76	ranger
n=76	smiley	(utf16=71)
n=76	starke	(utf16=25)
n=75	galax	(utf16=27)
n=75	riva	(utf16=26)
n=73	casper	(utf16=61)
n=73	wyoming	(utf16=20)
n=72	medina
n=72	welling	(utf16=20)
n=71	tiff	(utf16=2)
n=69	tula	(utf16=40)
n=68	rosario	(utf16=24)
n=68	wana	(utf16=14)
n=65	huey	(utf16=59)
n=64	reno	(utf16=18)
n=63	equality
n=63	fisher	(utf16=37)
n=63	hills	(utf16=7)
n=62	bena	(utf16=36)
n=62	desha	(utf16=58)
n=62	strang	(utf16=1)
n=62	vadis	(utf16=8)
n=61	duran	(utf16=9)
n=60	elmo	(utf16=16)
n=59	linn
n=59	viper	(utf16=40)
n=58	sabin
n=57	ensenada	(utf16=20)
n=57	epes	(utf16=57)
n=57	independence	(utf16=32)
n=57	ingle	(utf16=37)
n=57	nitro	(utf16=14)
n=56	parker	(utf16=7)
n=56	seguin	(utf16=51)
n=56	vesta	(utf16=44)
n=55	doss	(utf16=11)
n=54	charlo	(utf16=7)
n=54	justin
n=53	devol	(utf16=17)
n=53	poca
n=52	jeffers
n=52	norge	(utf16=43)
n=52	zuni	(utf16=10)
n=51	chico	(utf16=15)
n=51	stephan
n=50	gravity	(utf16=19)
n=50	hauppauge	(utf16=21)
n=50	manito
n=49	cima	(utf16=4)
n=49	shoshone
n=49	trent
n=48	atco
n=48	brill	(utf16=23)
n=48	clancy	(utf16=40)
n=48	dolph	(utf16=45)
n=48	durant	(utf16=9)
n=48	gwynn
n=48	yorkshire
n=47	elsa	(utf16=11)
n=47	teton
n=47	vick
n=46	milano
n=46	mott	(utf16=31)
n=46	nikep	(utf16=6)
n=46	saxe
n=46	turner
n=45	caddo	(utf16=8)
n=45	wann	(utf16=35)
n=44	castell	(utf16=38)
n=44	hammon
n=44	jansen
n=44	lynd
n=43	burns	(utf16=3)
n=43	carlos
n=43	carter	(utf16=4)
n=43	gordo	(utf16=8)
n=43	mina	(utf16=18)
n=43	scipio
n=42	homer
n=42	owen	(utf16=2)
n=41	andreas
n=41	baker	(utf16=12)
n=41	barto	(utf16=8)
n=41	coden	(utf16=23)
n=41	eucha
n=41	grantsdale	(utf16=14)
n=41	malaga	(utf16=16)
n=41	mena	(utf16=25)
n=40	milton	(utf16=7)
n=40	nuevo	(utf16=31)
n=40	pekin	(utf16=7)
n=40	warne	(utf16=4)
n=39	alco	(utf16=8)
n=39	asco	(utf16=2)
n=39	zeeland	(utf16=32)
n=38	alviso	(utf16=14)
n=38	browning	(utf16=8)
n=38	fagus
n=38	manti	(utf16=7)
n=38	pavo	(utf16=5)
n=37	achille
n=37	diablo	(utf16=32)
n=37	marne
n=37	shoshoni
n=36	bache
n=36	erin	(utf16=3)
n=36	granada	(utf16=13)
n=36	malin	(utf16=8)
n=36	solen
n=36	whitt
n=36	winner	(utf16=8)
n=35	blackfoot	(utf16=19)
n=35	buhl	(utf16=31)
n=35	cambria
n=35	carmel
n=35	dalmatia	(utf16=7)
n=35	seale	(utf16=9)
n=35	vina	(utf16=2)
n=34	bagdad	(utf16=28)
n=34	leakey
n=34	odon
n=34	olds	(utf16=3)
n=34	warner	(utf16=2)
n=33	arapaho	(utf16=8)
n=33	gile	(utf16=4)
n=33	marcell
n=33	steff
n=32	thatcher
n=32	venetia
n=31	barco	(utf16=5)
n=31	farmer	(utf16=8)
n=31	harman	(utf16=7)
n=31	runa	(utf16=17)
n=31	springs	(utf16=1)
n=31	torrey
n=31	vada
n=31	waka	(utf16=10)
n=30	annona
n=30	aragon	(utf16=12)
n=30	banco	(utf16=1)
n=30	tokio	(utf16=20)
n=30	tolar	(utf16=29)
n=30	yuma
n=29	castanea
n=29	corsica	(utf16=4)
n=29	fremont
n=29	loma
n=29	plains
n=29	prue	(utf16=13)
n=29	welches	(utf16=29)
n=28	edinburg	(utf16=15)
n=28	guadalupe	(utf16=13)
n=28	kiel	(utf16=17)
n=28	kuna	(utf16=26)
n=28	nabb
n=28	sinton	(utf16=24)
n=28	tiro	(utf16=7)
n=28	totz
n=28	wilder
n=27	bronte
n=27	deale	(utf16=21)
n=27	hume	(utf16=1)
n=27	ledger	(utf16=10)
n=27	loco	(utf16=14)
n=27	lodi	(utf16=22)
n=27	sardinia	(utf16=4)
n=27	silva	(utf16=3)
n=27	stamps	(utf16=8)
n=26	chilo
n=26	lucien
n=26	maize	(utf16=19)
n=26	mojave
n=26	osage	(utf16=8)
n=26	rives	(utf16=26)
n=26	rupert
n=26	tyro
n=26	winston
n=25	carmi
n=25	cato
n=25	edmond	(utf16=2)
n=25	elbe
n=25	everest	(utf16=2)
n=25	hode	(utf16=2)
n=25	levan
n=25	lolo	(utf16=2)
n=25	lytton
n=25	maud
n=25	moneta	(utf16=12)
n=25	onemo	(utf16=22)
n=24	adena	(utf16=2)
n=24	bennet
n=24	flippin	(utf16=15)
n=24	hooker
n=24	leary
n=24	levant
n=24	lyndon
n=24	meade
n=24	provo	(utf16=7)
n=24	salford
n=24	singer	(utf16=4)
n=24	vesuvius	(utf16=8)
n=24	vici
n=24	zephyr	(utf16=3)
n=23	agar	(utf16=3)
n=23	dover	(utf16=7)
n=23	fairbank
n=23	fairbanks
n=23	nada	(utf16=18)
n=23	nimitz
n=23	pitts
n=22	babb
n=22	brooks
n=22	gautier
n=22	hamel
n=22	leicester
n=22	nyssa
n=22	orlean
n=22	pima
n=22	rochelle
n=22	tripp	(utf16=8)
n=22	yosemite	(utf16=8)
n=21	amery	(utf16=18)
n=21	antigo	(utf16=3)
n=21	avalon	(utf16=10)
n=21	burnet
n=21	cortez
n=21	hettinger
n=21	mansfield
n=21	melba
n=21	napier
n=21	omar	(utf16=1)
n=21	paradis	(utf16=1)
n=21	rayle
n=21	reyno
n=21	sylva
n=21	tesla	(utf16=8)
n=21	volga
n=21	weaver	(utf16=16)
n=20	adin
n=20	bayard
n=20	diaz
n=20	dupo	(utf16=4)
n=20	herod
n=20	inkom	(utf16=17)
n=20	merton
n=20	nemo	(utf16=10)
n=20	orla
n=20	plano	(utf16=7)
n=20	sula	(utf16=1)
n=20	tatum
n=20	wickliffe
n=19	belk	(utf16=5)
n=19	berger
n=19	bourg
n=19	bude	(utf16=12)
n=19	firth
n=19	fries	(utf16=6)
n=19	geff
n=19	irmo	(utf16=8)
n=19	kona	(utf16=14)
n=19	lorentz
n=19	lott
n=19	marlow
n=19	milo
n=19	mima
n=19	minoa
n=19	orland
n=19	pella
n=19	potter
n=19	reva	(utf16=2)
n=19	tangier
n=19	tivoli	(utf16=16)
n=18	aladdin	(utf16=1)
n=18	aleppo
n=18	bula	(utf16=5)
n=18	connell
n=18	eland
n=18	hendrix
n=18	lillie
n=18	nebo	(utf16=3)
n=18	petros
n=18	pittsburg
n=18	sparks	(utf16=8)
n=18	talbot
n=18	tobias
n=18	ucon
n=18	wheeler
n=17	birds	(utf16=7)
n=17	bogart
n=17	bunn	(utf16=9)
n=17	cordova	(utf16=2)
n=17	derma
n=17	etna	(utf16=1)
n=17	fielding
n=17	gorin
n=17	lorenzo
n=17	lyme
n=17	neville
n=17	paisley
n=17	rudd	(utf16=3)
n=17	sidon
n=17	thorp
n=17	valencia	(utf16=6)
n=17	veblen
n=16	amite
n=16	ararat
n=16	balko	(utf16=16)
n=16	barnum
n=16	crichton
n=16	declo
n=16	ellington
n=16	erick
n=16	fillmore
n=16	gallina
n=16	hammett
n=16	haywood
n=16	ionia
n=16	iraan	(utf16=16)
n=16	kosciusko
n=16	laguna	(utf16=4)
n=16	lakota
n=16	libby	(utf16=3)
n=16	likely	(utf16=6)
n=16	mcrae	(utf16=15)
n=16	merrimac
n=16	orford
n=16	paige
n=16	philadelphia
n=16	progreso	(utf16=8)
n=16	quincy
n=16	redford
n=16	risco	(utf16=16)
n=16	rover	(utf16=2)
n=16	stowe
n=16	vernon
n=16	wister
n=15	alleman	(utf16=15)
n=15	bowler	(utf16=14)
n=15	camas
n=15	cleves	(utf16=14)
n=15	croton
n=15	dingus
n=15	falkner
n=15	fonda
n=15	hana
n=15	highlands
n=15	joplin
n=15	livonia
n=15	mays	(utf16=2)
n=15	monon
n=15	nunn
n=15	oceano	(utf16=9)
n=15	olean
n=15	olpe
n=15	orma	(utf16=3)
n=15	otho
n=15	pooler	(utf16=6)
n=15	ruso	(utf16=13)
n=15	sasser	(utf16=12)
n=15	sundance	(utf16=3)
n=15	trimble	(utf16=3)
n=15	varna	(utf16=7)
n=15	wendel
n=15	winnebago
n=15	zell	(utf16=1)
n=14	balta	(utf16=14)
n=14	bannister
n=14	beecher
n=14	chardon
n=14	comstock
n=14	daniels	(utf16=1)
n=14	dardanelle
n=14	dresden
n=14	emmet
n=14	glasgo
n=14	gunter
n=14	iliamna
n=14	lovell
n=14	merced	(utf16=1)
n=14	racine
n=14	reseda
n=14	romney
n=14	smilax
n=14	susquehanna
n=14	trafalgar
n=14	wilber
n=13	albee
n=13	aline	(utf16=3)
n=13	andalusia
n=13	apalachicola
n=13	ariel
n=13	beaufort
n=13	browns
n=13	bunker
n=13	clovis
n=13	dania	(utf16=7)
n=13	darrow
n=13	defoe
n=13	dowell
n=13	erving
n=13	eure
n=13	frazer
n=13	gipsy
n=13	glover	(utf16=8)
n=13	harper
n=13	hernando
n=13	iona	(utf16=6)
n=13	metter
n=13	moselle
n=13	nunez
n=13	okeechobee
n=13	platina	(utf16=13)
n=13	powhatan
n=13	prole
n=13	pruden
n=13	reliance	(utf16=2)
n=13	rockingham
n=13	savanna
n=13	sellers
n=13	selz
n=13	stilwell
n=13	tacoma
n=13	thorndike
n=13	ventura	(utf16=8)
n=13	webber
n=13	wren
n=12	alston
n=12	amanda
n=12	ashton
n=12	canute
n=12	darby
n=12	delmar
n=12	dumas
n=12	ehrenberg
n=12	eton
n=12	ewen	(utf16=2)
n=12	grundy
n=12	hilda
n=12	klamath
n=12	lafitte
n=12	leiter	(utf16=12)
n=12	lexa	(utf16=2)
n=12	marvell
n=12	olmsted
n=12	paton
n=12	pepin
n=12	rhineland
n=12	roby
n=12	shorter	(utf16=1)
n=12	siluria
n=12	summit	(utf16=7)
n=12	trion
n=12	tunica
n=12	yellowstone
n=11	alda
n=11	amazonia
n=11	arapahoe
n=11	austerlitz
n=11	bethune
n=11	bloomer
n=11	brewer
n=11	brutus
n=11	buckingham
n=11	buna	(utf16=10)
n=11	carlsbad
n=11	cartwright
n=11	ceiba
n=11	chattahoochee
n=11	chesterfield
n=11	colbert
n=11	comer	(utf16=4)
n=11	dreyfus
n=11	earle
n=11	elbert
n=11	enka
n=11	fellows	(utf16=7)
n=11	gardiner
n=11	goodyear
n=11	greeley
n=11	harrod
n=11	herrick
n=11	herrin
n=11	huntingdon
n=11	hutto
n=11	kinsey
n=11	landing	(utf16=6)
n=11	latimer
n=11	lebo	(utf16=1)
n=11	lennon
n=11	macdona	(utf16=3)
n=11	magdalena
n=11	martel
n=11	mathis
n=11	menno
n=11	monongah
n=11	noyes
n=11	nuremberg
n=11	olar	(utf16=11)
n=11	paxton
n=11	penobscot
n=11	provencal
n=11	ringling
n=11	ruskin
n=11	sayre
n=11	soudan	(utf16=3)
n=11	sparr	(utf16=1)
n=11	tecumseh
n=11	ticonderoga
n=11	vass
n=11	wilton
n=11	wiseman
n=11	zoar
n=10	arriba	(utf16=4)
n=10	ashmore	(utf16=10)
n=10	balaton
n=10	bally
n=10	bancroft
n=10	barree	(utf16=6)
n=10	bebe	(utf16=3)
n=10	bono
n=10	booker
n=10	boykin
n=10	braman
n=10	cathay
n=10	chloe
n=10	constable
n=10	cumming
n=10	curtiss
n=10	darlington
n=10	deerfield	(utf16=8)
n=10	donalds	(utf16=4)
n=10	elwood
n=10	gadsden
n=10	girard
n=10	glady
n=10	higginson
n=10	hildebran
n=10	hollis
n=10	irons
n=10	jenner
n=10	joffre
n=10	kathryn
n=10	landa	(utf16=2)
n=10	lando
n=10	lehi	(utf16=3)
n=10	maitland
n=10	manilla	(utf16=4)
n=10	marmora
n=10	marquand
n=10	mauldin
n=10	moira
n=10	oberon
n=10	orson
n=10	ravenna
n=10	roanoke
n=10	roebling
n=10	rowan
n=10	rubicon
n=10	salida	(utf16=7)
n=10	skene	(utf16=10)
n=10	smiths
n=10	speer
n=10	tilden
n=10	turpin
n=10	warfield
n=10	wayland
n=10	wentworth
n=10	worthing
n=9	abilene
n=9	altro	(utf16=9)
n=9	anson	(utf16=1)
n=9	archie	(utf16=2)
n=9	arco	(utf16=4)
n=9	bastian
n=9	canadensis
n=9	carver
n=9	cayuse
n=9	daisy	(utf16=2)
n=9	dennison	(utf16=8)
n=9	dustin
n=9	edgard
n=9	elmore
n=9	engelhard
n=9	fowler
n=9	galva
n=9	gans
n=9	gillett
n=9	grampian
n=9	greenville
n=9	guffey
n=9	heimdal
n=9	ione
n=9	jameson
n=9	kalama
n=9	langtry
n=9	lepanto
n=9	lille
n=9	mahomet
n=9	marcellus
n=9	mcguffey
n=9	millington
n=9	monaca
n=9	muskogee	(utf16=2)
n=9	omer
n=9	overly
n=9	pinckney
n=9	ricketts
n=9	roscoe
n=9	savona
n=9	scotts
n=9	serena
n=9	sontag	(utf16=1)
n=9	springdale
n=9	valdez
n=9	winfred
n=9	zamora
n=9	zapata
n=8	acra
n=8	albers
n=8	albion
